,,,,,785.6383838
DISTRICT,TALUK,HOBLI,RECORDED_DATE,,
BANGALORE URBAN,ANEKAL,SARJAPUR,01-01,2.5,
BANGALORE URBAN,ANEKAL,SARJAPUR,01-02,0.1666666667,
BANGALORE URBAN,ANEKAL,SARJAPUR,01-03,0,
BANGALORE URBAN,ANEKAL,SARJAPUR,01-04,0,
BANGALORE URBAN,ANEKAL,SARJAPUR,01-05,0,
BANGALORE URBAN,ANEKAL,SARJAPUR,01-06,0,
BANGALORE URBAN,ANEKAL,SARJAPUR,01-07,0,
BANGALORE URBAN,ANEKAL,SARJAPUR,01-08,0,
BANGALORE URBAN,ANEKAL,SARJAPUR,01-09,0,
BANGALORE URBAN,ANEKAL,SARJAPUR,01-10,0,
BANGALORE URBAN,ANEKAL,SARJAPUR,01-11,0,
BANGALORE URBAN,ANEKAL,SARJAPUR,01-12,0.04166666667,
BANGALORE URBAN,ANEKAL,SARJAPUR,01-13,0.2916666667,
BANGALORE URBAN,ANEKAL,SARJAPUR,01-14,0,
BANGALORE URBAN,ANEKAL,SARJAPUR,01-15,0,
BANGALORE URBAN,ANEKAL,SARJAPUR,01-16,0,
BANGALORE URBAN,ANEKAL,SARJAPUR,01-17,0,
BANGALORE URBAN,ANEKAL,SARJAPUR,01-18,0,
BANGALORE URBAN,ANEKAL,SARJAPUR,01-19,0,
BANGALORE URBAN,ANEKAL,SARJAPUR,01-20,0.04166666667,
BANGALORE URBAN,ANEKAL,SARJAPUR,01-21,0.1666666667,
BANGALORE URBAN,ANEKAL,SARJAPUR,01-22,1.541666667,
BANGALORE URBAN,ANEKAL,SARJAPUR,01-23,0,
BANGALORE URBAN,ANEKAL,SARJAPUR,01-24,0.04166666667,
BANGALORE URBAN,ANEKAL,SARJAPUR,01-25,0.04166666667,
BANGALORE URBAN,ANEKAL,SARJAPUR,01-26,0,
BANGALORE URBAN,ANEKAL,SARJAPUR,01-27,0.1666666667,
BANGALORE URBAN,ANEKAL,SARJAPUR,01-28,0.04166666667,
BANGALORE URBAN,ANEKAL,SARJAPUR,01-29,0.04166666667,
BANGALORE URBAN,ANEKAL,SARJAPUR,01-30,0,
BANGALORE URBAN,ANEKAL,SARJAPUR,01-31,0,
BANGALORE URBAN,ANEKAL,SARJAPUR,02-01,0,
BANGALORE URBAN,ANEKAL,SARJAPUR,02-02,0,
BANGALORE URBAN,ANEKAL,SARJAPUR,02-03,0,
BANGALORE URBAN,ANEKAL,SARJAPUR,02-04,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,02-05,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,02-06,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,02-07,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,02-08,0.2083333333,
BENGALURU URBAN,ANEKAL,SARJAPUR,02-09,0.2916666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,02-10,0.125,
BENGALURU URBAN,ANEKAL,SARJAPUR,02-11,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,02-12,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,02-13,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,02-14,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,02-15,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,02-16,0.04166666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,02-17,0.04166666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,02-18,0.875,
BENGALURU URBAN,ANEKAL,SARJAPUR,02-19,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,02-20,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,02-21,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,02-22,0.6666666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,02-23,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,02-24,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,02-25,0.08333333333,
BENGALURU URBAN,ANEKAL,SARJAPUR,02-26,0.2083333333,
BENGALURU URBAN,ANEKAL,SARJAPUR,02-27,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,02-28,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,03-01,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,03-02,0.04166666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,03-03,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,03-04,2.375,
BENGALURU URBAN,ANEKAL,SARJAPUR,03-05,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,03-06,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,03-07,0.5416666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,03-08,0.5833333333,
BENGALURU URBAN,ANEKAL,SARJAPUR,03-09,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,03-10,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,03-11,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,03-12,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,03-13,0.375,
BENGALURU URBAN,ANEKAL,SARJAPUR,03-14,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,03-15,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,03-16,0.4583333333,
BENGALURU URBAN,ANEKAL,SARJAPUR,03-17,1.291666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,03-18,0.1666666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,03-19,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,03-20,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,03-21,0.08333333333,
BENGALURU URBAN,ANEKAL,SARJAPUR,03-22,0.2916666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,03-23,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,03-24,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,03-25,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,03-26,2.916666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,03-27,0.08333333333,
BENGALURU URBAN,ANEKAL,SARJAPUR,03-28,0.04166666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,03-29,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,03-30,0.8333333333,
BENGALURU URBAN,ANEKAL,SARJAPUR,03-31,0.1666666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-01,0.2916666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-02,0.04166666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-03,1.916666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-04,0.04166666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-05,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-06,1.333333333,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-07,2.916666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-08,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-09,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-10,1.25,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-11,0.04166666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-12,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-13,1.916666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-14,0.625,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-15,0.125,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-16,1.791666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-17,3.958333333,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-18,1.625,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-19,1.208333333,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-20,2.416666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-21,4.5,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-22,8,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-23,8.541666667,
